t	result
0.000000000000000e+00	3.438549e-01
3.921568627450980e-07	5.232858e-01
7.843137254901960e-07	6.496449e-01
1.176470588235290e-06	7.213793e-01
1.568627450980390e-06	7.453296e-01
1.960784313725490e-06	7.347597e-01
2.352941176470590e-06	7.075529e-01
2.745098039215690e-06	6.838036e-01
3.137254901960780e-06	6.830612e-01
3.529411764705880e-06	7.217125e-01
3.921568627450980e-06	8.107423e-01
4.313725490196080e-06	9.542428e-01
4.705882352941180e-06	1.148851e+00
5.098039215686280e-06	1.384192e+00
5.490196078431370e-06	1.644269e+00
5.882352941176470e-06	1.909616e+00
6.274509803921570e-06	2.159915e+00
6.666666666666670e-06	2.376729e+00
7.058823529411770e-06	2.545987e+00
7.450980392156860e-06	2.659870e+00
7.843137254901961e-06	2.717855e+00
8.235294117647060e-06	2.726775e+00
8.627450980392161e-06	2.699970e+00
9.019607843137260e-06	2.655355e+00
9.411764705882350e-06	2.613037e+00
9.803921568627450e-06	2.592594e+00
1.019607843137260e-05	2.610416e+00
1.058823529411760e-05	2.677492e+00
1.098039215686270e-05	2.797913e+00
1.137254901960780e-05	2.968314e+00
1.176470588235290e-05	3.178323e+00
1.215686274509800e-05	3.411950e+00
1.254901960784310e-05	3.649745e+00
1.294117647058820e-05	3.871413e+00
1.333333333333330e-05	4.058550e+00
1.372549019607840e-05	4.197119e+00
1.411764705882350e-05	4.279340e+00
1.450980392156860e-05	4.304732e+00
1.490196078431370e-05	4.280175e+00
1.529411764705880e-05	4.218966e+00
1.568627450980390e-05	4.139028e+00
1.607843137254900e-05	4.060473e+00
1.647058823529410e-05	4.002888e+00
1.686274509803920e-05	3.982680e+00
1.725490196078430e-05	4.010858e+00
1.764705882352940e-05	4.091541e+00
1.803921568627450e-05	4.221394e+00
1.843137254901960e-05	4.390080e+00
1.882352941176470e-05	4.581646e+00
1.921568627450980e-05	4.776678e+00
1.960784313725490e-05	4.954914e+00
2.000000000000000e-05	5.097980e+00
2.039215686274510e-05	5.191866e+00
2.078431372549020e-05	5.228819e+00
2.117647058823530e-05	5.208379e+00
2.156862745098040e-05	5.137445e+00
2.196078431372550e-05	5.029339e+00
2.235294117647060e-05	4.902004e+00
2.274509803921570e-05	4.775579e+00
2.313725490196080e-05	4.669680e+00
2.352941176470590e-05	4.600745e+00
2.392156862745100e-05	4.579816e+00
2.431372549019610e-05	4.611048e+00
2.470588235294120e-05	4.691142e+00
2.509803921568630e-05	4.809794e+00
2.549019607843140e-05	4.951084e+00
2.588235294117650e-05	5.095624e+00
2.627450980392160e-05	5.223182e+00
2.666666666666670e-05	5.315407e+00
2.705882352941180e-05	5.358314e+00
2.745098039215690e-05	5.344172e+00
2.784313725490200e-05	5.272546e+00
2.823529411764710e-05	5.150364e+00
2.862745098039220e-05	4.990982e+00
2.901960784313730e-05	4.812359e+00
2.941176470588240e-05	4.634726e+00
2.980392156862750e-05	4.477691e+00
3.019607843137260e-05	4.357750e+00
3.058823529411770e-05	4.285991e+00
3.098039215686270e-05	4.266604e+00
3.137254901960780e-05	4.296326e+00
3.176470588235290e-05	4.364881e+00
3.215686274509800e-05	4.456371e+00
3.254901960784310e-05	4.551429e+00
3.294117647058820e-05	4.629818e+00
3.333333333333330e-05	4.673179e+00
3.372549019607840e-05	4.667565e+00
3.411764705882350e-05	4.605283e+00
3.450980392156860e-05	4.485945e+00
3.490196078431370e-05	4.316525e+00
3.529411764705880e-05	4.110421e+00
3.568627450980390e-05	3.885652e+00
3.607843137254900e-05	3.662430e+00
3.647058823529410e-05	3.460437e+00
3.686274509803920e-05	3.296172e+00
3.725490196078430e-05	3.180734e+00
3.764705882352940e-05	3.118324e+00
3.803921568627450e-05	3.105691e+00
3.843137254901960e-05	3.132576e+00
3.882352941176470e-05	3.183106e+00
3.921568627450980e-05	3.237944e+00
3.960784313725490e-05	3.276911e+00
4.000000000000000e-05	3.281713e+00
4.039215686274510e-05	3.238427e+00
4.078431372549020e-05	3.139382e+00
4.117647058823530e-05	2.984207e+00
4.156862745098040e-05	2.779888e+00
4.196078431372550e-05	2.539830e+00
4.235294117647060e-05	2.282061e+00
4.274509803921570e-05	2.026799e+00
4.313725490196080e-05	1.793739e+00
4.352941176470590e-05	1.599392e+00
4.392156862745100e-05	1.454875e+00
4.431372549019610e-05	1.364410e+00
4.470588235294120e-05	1.324772e+00
4.509803921568630e-05	1.325724e+00
4.549019607843140e-05	1.351419e+00
4.588235294117650e-05	1.382542e+00
4.627450980392160e-05	1.398932e+00
4.666666666666670e-05	1.382313e+00
4.705882352941180e-05	1.318772e+00
4.745098039215690e-05	1.200646e+00
4.784313725490200e-05	1.027572e+00
4.823529411764710e-05	8.065388e-01
4.862745098039220e-05	5.509592e-01
4.901960784313730e-05	2.788705e-01
4.941176470588240e-05	1.048771e-02
4.980392156862750e-05	-2.344731e-01
5.019607843137260e-05	-4.394907e-01
5.058823529411760e-05	-5.934379e-01
5.098039215686280e-05	-6.920788e-01
5.137254901960780e-05	-7.386317e-01
5.176470588235290e-05	-7.433240e-01
5.215686274509800e-05	-7.220021e-01
5.254901960784310e-05	-6.939815e-01
5.294117647058820e-05	-6.794288e-01
5.333333333333330e-05	-6.966279e-01
5.372549019607840e-05	-7.595013e-01
5.411764705882350e-05	-8.757194e-01
5.450980392156860e-05	-1.045654e+00
5.490196078431370e-05	-1.262320e+00
5.529411764705880e-05	-1.512303e+00
5.568627450980390e-05	-1.777565e+00
5.607843137254900e-05	-2.037874e+00
5.647058823529410e-05	-2.273515e+00
5.686274509803920e-05	-2.467955e+00
5.725490196078430e-05	-2.610060e+00
5.764705882352940e-05	-2.695592e+00
5.803921568627450e-05	-2.727744e+00
5.843137254901960e-05	-2.716800e+00
5.882352941176470e-05	-2.678652e+00
5.921568627450980e-05	-2.632641e+00
5.960784313725490e-05	-2.598953e+00
6.000000000000000e-05	-2.595887e+00
6.039215686274510e-05	-2.637369e+00
6.078431372549020e-05	-2.731071e+00
6.117647058823530e-05	-2.877362e+00
6.156862745098040e-05	-3.069257e+00
6.196078431372549e-05	-3.293348e+00
6.235294117647060e-05	-3.531608e+00
6.274509803921570e-05	-3.763821e+00
6.313725490196080e-05	-3.970304e+00
6.352941176470590e-05	-4.134555e+00
6.392156862745101e-05	-4.245480e+00
6.431372549019610e-05	-4.298876e+00
6.470588235294120e-05	-4.297999e+00
6.509803921568630e-05	-4.253114e+00
6.549019607843140e-05	-4.180101e+00
6.588235294117651e-05	-4.098309e+00
6.627450980392159e-05	-4.027930e+00
6.666666666666670e-05	-3.987275e+00
6.705882352941180e-05	-3.990290e+00
6.745098039215690e-05	-4.044670e+00
6.784313725490200e-05	-4.150815e+00
6.823529411764709e-05	-4.301770e+00
6.862745098039220e-05	-4.484165e+00
6.901960784313730e-05	-4.680008e+00
6.941176470588240e-05	-4.869119e+00
6.980392156862750e-05	-5.031847e+00
7.019607843137261e-05	-5.151718e+00
7.058823529411770e-05	-5.217665e+00
7.098039215686280e-05	-5.225508e+00
7.137254901960781e-05	-5.178524e+00
7.176470588235289e-05	-5.086999e+00
7.215686274509811e-05	-4.966836e+00
7.254901960784310e-05	-4.837407e+00
7.294117647058820e-05	-4.718933e+00
7.333333333333330e-05	-4.629753e+00
7.372549019607839e-05	-4.583847e+00
7.411764705882350e-05	-4.588944e+00
7.450980392156860e-05	-4.645479e+00
7.490196078431370e-05	-4.746534e+00
7.529411764705880e-05	-4.878768e+00
7.568627450980391e-05	-5.024196e+00
